"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","d2H.irms","d18O.irms","p.diff.h","p.diff.o","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Good"
"22-157_SCBI5-A-1","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Liriodendron tulipifera",-42.2845666366,-4.6183110346,NA,0.402347467242598,0.0616201044125401,NA,"SPATIAL",384,"SCBI5",-5.3380783598,-40,0.6,2.2845666366,5.2183110346,1029.5916,-41.96545,0.0684499999999995,-2.92295000000001,-2.57845,FALSE
"22-157_SCBI5-A-2","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Liriodendron tulipifera",-45.4328026074,-5.2166920948,NA,0.400034825373109,0.0554369832850895,NA,"SPATIAL",384,"SCBI5",-3.699265849,-44,-7,1.4328026074,-1.7833079052,870.92835,-35.17695,0.0444499999999999,-2.70295000000002,-2.0827,FALSE
"22-157_SCBI5-A-3","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Liriodendron tulipifera",-45.822379118,-5.1686681986,NA,0.420625842557324,0.0586345813416439,NA,"SPATIAL",384,"SCBI5",-4.4730335292,-51,-7,-5.177620882,-1.8313318014,1020.2471,-40.7122,0.0391999999999997,-4.59745000000001,-2.18695,FALSE
"22-157_SCBI5-B-2","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus rubra",-38.4891830207,-4.0393074193,NA,0.418964417839355,0.0580873801383822,NA,"SPATIAL",384,"SCBI5",-6.1747236663,-37,-8.3,1.4891830207,-4.2606925807,504.0136,-19.91795,0.0769499999999996,-0.188950000000006,-0.9902,FALSE
"22-157_SCBI5-B-3","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus rubra",-51.9392318102,-6.8204906254,NA,0.427994035336523,0.0551768299171701,NA,"SPATIAL",384,"SCBI5",2.624693193,-50,-7.3,1.9392318102,-0.4795093746,11.2978500000002,-1.2032,0.0501999999999998,2.00004999999999,-0.13945,TRUE
"22-157_SCBI5-B-4","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus rubra",-36.4410267273,-3.0080697667,NA,0.489915074525291,0.0692249784027998,NA,"SPATIAL",384,"SCBI5",-12.3764685937,-34,3,2.4410267273,6.0080697667,511.34735,-20.6442,0.00894999999999957,-1.30545000000001,-1.36945,FALSE
"22-157_SCBI5-B-5","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus rubra",-57.6929365002,-6.5241551309,NA,0.396235253012836,0.0473257679461721,NA,"SPATIAL",384,"SCBI5",-5.499695453,-73,-0.8,-15.3070634998,5.7241551309,893.2696,-36.1152,0.0266999999999999,-3.46170000000001,-2.06895,FALSE
"22-157_SCBI5-C-2","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus alba",-51.0590978406,-5.8674577449,NA,0.417264703684394,0.0544073614672182,NA,"SPATIAL",384,"SCBI5",-4.1194358814,-47,-0.8,4.0590978406,5.0674577449,849.94585,-33.68145,-0.0485500000000005,-6.07345000000001,-1.92895,FALSE
"22-157_SCBI5-C-4","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus alba",-35.3246497099,-3.6829073845,NA,0.493769712398417,0.0737195191371007,NA,"SPATIAL",384,"SCBI5",-5.8613906339,-42,-4.8,-6.6753502901,-1.1170926155,873.9811,-34.18945,-0.0310500000000005,-4.4632,-1.6757,FALSE
"22-251_WOOD7-B-1","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-10-26 00:00:00",NA,"2021-10-26 00:00:00",6,NA,NA,"Medicago sativa",-82.0557673183,-8.4594036275,NA,0.432697344190271,0.0422117276323915,NA,"SPATIAL",384,"WOOD7",-14.3805382983,-80,-9.5,2.0557673183,-1.0405963725,0.51905,-1.97475,-0.0274000000000001,-0.987549999999999,-0.27325,TRUE
